age,Dept,location,education,recruitment_type,job_level,rating,onsite,awards,Certification,Salary,Age in Company,Hike,Weight,satisfied
53.88,2,1,2,1,5,1,1,10,1,102459,32.81,5,74,1
44.72,2,2,2,1,1,2,1,1,0,79084,20.54,9,77,0
55.67,5,1,2,1,4,4,1,2,0,174161,8.48,10,83,1
39.1,5,1,2,3,1,4,1,11,1,84077,4.68,24,69,0
43.55,2,2,1,3,3,4,0,4,1,78888,7.28,22,40,1
42.07,1,2,1,3,1,3,0,10,1,150775,17.84,1,56,1
25.52,2,1,1,1,2,1,0,1,0,156159,2.51,6,43,1
23.21,2,2,2,1,3,3,1,9,0,66873,0.9,7,58,1
54.48,4,1,2,1,2,4,1,6,1,64133,27.13,13,57,1
44.23,2,1,1,4,1,2,0,12,1,114141,14.61,3,51,0
37.49,5,2,2,1,3,4,1,9,0,68755,2.86,24,60,1
24.38,2,2,2,1,2,5,1,1,0,160998,0.55,4,56,1
42.31,5,2,2,3,4,4,1,9,0,166017,7.9,24,74,1
42.05,1,1,2,1,1,4,1,10,1,135716,8.78,29,73,1
48.13,5,2,1,4,1,5,0,1,0,182351,25.51,22,55,1
41.69,2,2,1,4,1,5,0,6,1,125250,2.09,9,40,1
37.64,3,1,1,4,1,5,0,1,0,198143,2.52,26,42,1
37.94,4,1,2,3,2,2,1,9,0,144689,8.91,16,80,1
40.22,4,1,2,3,1,2,1,6,1,199377,13.09,26,73,1
37.03,2,1,1,2,5,2,0,2,0,142335,10.43,19,56,0
48.53,4,1,2,3,1,3,1,9,0,142396,0.87,1,81,1
26.41,4,1,2,3,3,2,1,10,1,45405,4.75,22,56,1
42.22,4,2,1,3,2,3,0,8,0,56797,14.99,9,58,0
32.63,1,1,2,1,1,1,1,7,0,171364,7.0,9,78,1
40.99,5,1,2,1,1,1,1,1,0,171443,2.53,6,85,0
52.52,2,1,1,2,1,4,0,8,0,129868,15.93,29,44,1
30.81,3,2,1,2,5,4,0,7,0,128605,3.04,23,42,1
52.53,1,2,1,2,2,4,0,6,1,140354,19.1,25,45,1
36.48,3,1,1,2,2,5,0,2,0,71229,4.42,4,59,1
36.42,3,2,2,1,3,3,1,10,1,90235,0.8,26,68,1
28.36,5,1,2,1,5,3,1,7,0,188326,2.0,30,90,1
25.11,1,1,1,2,3,3,0,10,1,178730,2.76,15,43,0
53.42,3,2,2,3,1,4,1,5,1,143485,19.19,6,83,1
26.85,3,1,1,2,3,3,0,1,0,151320,1.56,17,57,1
44.46,5,1,2,1,1,2,1,4,1,171517,8.29,17,65,0
36.59,1,1,1,2,4,4,0,3,0,89821,10.39,6,49,0
48.67,4,2,2,1,4,1,1,9,0,68219,23.88,4,71,0
25.62,2,1,1,4,3,3,0,3,0,163094,2.38,25,47,1
56.37,3,2,1,2,3,5,0,3,0,178266,28.43,26,49,0
38.5,3,1,2,3,2,5,1,3,0,143364,14.36,8,65,1
54.04,5,2,1,4,1,5,0,7,0,46223,5.03,8,47,1
46.12,2,1,2,1,2,1,1,1,0,173184,6.56,23,69,0
28.59,1,1,1,3,2,3,0,2,0,195692,6.48,13,54,0
23.19,5,2,2,3,1,2,1,2,0,148002,0.48,22,64,1
39.83,3,2,2,1,2,1,1,12,1,61568,4.61,26,86,1
54.81,5,2,1,2,1,4,0,9,0,79372,19.89,18,56,0
49.3,3,2,2,3,1,4,1,4,1,180444,6.26,11,80,1
43.37,3,1,1,2,1,3,0,8,0,163782,6.97,20,43,0
51.25,1,1,2,1,1,3,1,8,0,144110,4.93,24,87,0
29.73,2,1,2,3,2,5,1,8,0,122100,5.98,23,55,0
37.9,2,2,2,1,2,3,1,5,1,181206,10.24,8,71,0
36.56,2,1,2,1,1,4,1,4,1,134661,6.25,3,83,1
32.98,3,2,1,2,4,4,0,8,0,191982,7.93,13,50,1
58.01,2,1,1,2,3,4,0,8,0,136963,12.92,6,53,0
37.48,1,2,2,1,2,2,1,5,1,181190,3.16,0,58,0
39.59,5,2,1,4,1,1,0,9,0,40999,2.9,24,51,0
43.66,3,2,1,4,2,3,0,1,0,154099,16.54,23,59,0
43.34,3,1,1,1,3,4,0,8,0,127211,10.92,0,53,0
39.34,2,2,1,4,5,2,0,10,1,140639,2.76,6,44,1
52.16,1,2,1,4,3,5,0,6,1,92065,3.09,16,56,1
41.38,3,1,1,4,2,2,0,9,0,92660,1.89,26,54,0
37.5,5,1,1,4,3,3,0,5,1,76254,10.24,6,56,0
41.47,1,2,1,4,2,3,0,10,1,79329,2.74,20,45,1
56.25,4,2,1,2,4,1,0,7,0,158531,4.07,15,46,0
59.16,2,2,1,1,5,1,0,7,0,125643,27.04,10,54,1
25.85,1,1,2,1,3,5,1,10,1,120156,1.8,24,88,1
29.09,2,2,2,1,2,5,1,4,1,199069,6.32,1,60,1
35.72,5,1,1,4,3,4,0,8,0,44978,13.96,2,41,1
29.52,2,1,2,1,3,4,1,4,1,89308,2.3,14,89,1
24.83,3,1,2,1,1,3,1,10,1,120138,3.75,4,58,1
33.1,3,1,1,2,1,4,0,12,1,86193,2.6,4,47,1
34.7,3,1,1,2,1,3,0,12,1,122394,9.62,22,48,1
37.88,2,1,1,4,3,2,0,9,0,40696,11.88,4,55,0
23.44,2,1,2,3,2,1,1,8,0,75077,1.91,16,88,0
32.6,3,2,1,2,1,1,0,4,1,194073,6.28,25,60,0
21.2,3,2,1,1,2,3,0,7,0,80669,0.07,6,54,1
30.16,3,1,1,4,3,1,0,6,1,160129,6.16,11,53,1
41.78,2,2,2,3,2,3,1,2,0,94005,15.44,1,80,0
52.41,3,1,1,4,3,4,0,6,1,165608,11.09,24,57,1
23.53,4,2,2,1,1,5,1,2,0,121103,0.45,1,80,1
27.19,5,1,2,3,1,1,1,2,0,53710,0.44,28,67,0
33.51,5,2,1,2,3,5,0,1,0,88613,11.53,16,50,0
26.55,1,1,2,1,4,1,1,4,1,75730,1.25,6,82,1
32.84,3,2,1,4,1,1,0,10,1,108900,4.76,6,50,0
27.3,2,1,2,1,1,4,1,3,0,175825,3.35,3,56,1
22.38,3,1,2,1,1,3,1,3,0,145746,1.37,1,64,1
51.74,4,2,1,2,2,3,0,12,1,113902,6.64,26,42,1
22.6,5,2,2,1,1,4,1,9,0,45673,0.88,5,60,0
25.73,4,1,1,2,2,2,0,3,0,91638,4.34,0,42,1
43.72,2,2,2,3,2,1,1,11,1,139906,16.74,10,74,1
55.9,2,2,2,1,3,5,1,7,0,146618,13.0,5,56,1
46.11,2,1,2,1,1,3,1,11,1,101939,0.73,27,67,1
34.2,3,1,2,1,3,5,1,8,0,139599,10.94,28,87,1
46.93,1,2,1,2,1,1,0,5,1,185751,14.21,22,58,1
51.65,3,1,2,1,1,4,1,10,1,119904,6.81,1,75,1
22.0,2,1,2,3,1,1,1,12,1,49621,0.59,14,82,0
22.37,2,2,2,1,1,3,1,6,1,93935,0.13,25,62,1
31.98,3,2,1,1,1,4,0,5,1,170595,10.19,5,41,1
38.82,1,2,1,4,4,3,0,8,0,181816,4.97,10,49,1
26.73,3,1,1,3,3,3,0,9,0,174551,4.9,25,47,1
54.36,2,1,1,2,3,3,0,10,1,107155,9.76,13,47,0
29.95,5,1,1,1,1,4,0,10,1,126910,8.82,20,46,0
23.95,1,2,2,1,2,2,1,12,1,44941,1.59,1,81,0
41.08,5,2,2,1,1,3,1,6,1,148963,16.09,14,62,0
35.24,3,1,2,1,1,1,1,7,0,92552,3.07,9,63,1
44.45,4,2,1,2,1,4,0,6,1,164822,22.14,20,58,1
39.77,3,2,1,2,1,2,0,1,0,148900,18.51,16,40,0
47.67,5,2,1,2,3,4,0,6,1,184001,7.12,0,43,1
42.53,2,1,1,4,5,1,0,11,1,106696,8.7,5,57,0
32.22,1,2,2,1,1,3,1,7,0,124615,7.08,0,69,1
47.72,1,2,1,4,2,3,0,4,1,142842,2.28,29,59,0
50.43,2,1,1,1,1,5,0,5,1,142213,13.19,9,54,1
33.72,1,2,1,2,5,1,0,7,0,131943,8.0,17,52,1
39.55,3,2,2,1,2,4,1,4,1,69227,18.26,2,87,1
35.43,3,1,1,2,3,2,0,6,1,127950,4.15,7,48,1
55.15,2,2,2,1,3,2,1,11,1,130054,13.71,12,84,1
21.73,2,2,1,3,1,3,0,4,1,58925,0.28,26,55,1
26.79,3,2,2,1,2,2,1,5,1,176756,3.21,28,63,0
36.26,4,1,1,2,5,4,0,7,0,179935,8.06,26,51,1
49.91,3,2,1,1,2,1,0,11,1,170387,15.67,8,57,0
55.44,3,1,2,1,3,4,1,5,1,189061,15.19,6,72,1
43.92,2,2,2,1,3,4,1,9,0,192952,22.9,0,52,1
31.75,5,2,2,3,3,3,1,10,1,71543,7.81,7,86,1
24.64,3,1,1,2,2,3,0,1,0,74978,0.53,8,44,0
44.19,5,2,1,2,1,4,0,12,1,177046,5.64,3,51,1
54.95,3,2,1,2,1,4,0,10,1,43723,19.82,1,55,1
49.14,1,2,1,4,3,4,0,7,0,155048,8.05,8,40,1
29.61,3,1,2,3,1,4,1,4,1,157001,7.27,9,78,1
50.28,3,2,1,1,2,3,0,9,0,93359,14.91,29,52,1
35.48,1,2,1,2,1,3,0,8,0,167635,9.93,27,44,1
24.9,3,1,1,2,5,1,0,4,1,44757,2.33,30,59,0
38.88,1,2,2,3,2,1,1,2,0,63536,2.42,24,59,0
35.44,1,2,1,1,4,3,0,9,0,86760,9.84,28,53,1
31.21,1,2,2,3,4,3,1,8,0,128408,2.97,1,76,1
58.19,2,1,2,3,2,2,1,12,1,59509,19.59,20,81,0
47.87,3,2,2,3,1,1,1,3,0,48070,23.35,14,54,0
36.37,2,2,1,2,2,3,0,11,1,86790,6.73,3,41,1
21.39,5,1,1,3,1,3,0,5,1,147419,0.19,7,47,1
40.35,1,1,1,4,2,4,0,6,1,145172,18.14,1,59,1
53.83,3,2,1,4,1,3,0,9,0,42996,24.88,17,56,0
28.21,5,1,1,1,4,5,0,3,0,186272,1.36,30,49,0
55.38,1,2,2,1,5,5,1,7,0,116201,0.06,3,88,1
25.46,5,1,1,3,3,4,0,10,1,117147,0.75,29,42,0
36.31,5,1,2,1,5,3,1,3,0,52111,13.39,13,50,1
22.08,2,1,1,4,2,4,0,12,1,103808,0.63,0,50,0
38.07,3,2,1,2,3,3,0,11,1,88943,10.67,14,46,1
54.78,2,1,1,3,2,3,0,2,0,102864,18.43,26,46,0
54.71,3,1,2,1,5,5,1,7,0,103122,5.05,1,82,1
45.52,2,1,2,1,5,1,1,2,0,126284,24.47,14,62,1
22.48,2,1,2,1,2,1,1,5,1,174992,1.17,14,72,0
59.28,2,1,1,2,1,2,0,12,1,64288,33.64,1,52,0
33.75,3,1,1,4,3,3,0,6,1,80139,11.15,2,46,1
45.05,3,1,1,2,3,3,0,5,1,171366,1.18,19,43,1
34.17,2,2,2,1,3,3,1,3,0,151349,0.34,8,50,1
35.13,1,2,1,4,2,4,0,12,1,160413,13.6,28,49,1
56.0,2,1,2,3,3,2,1,8,0,76180,6.94,2,55,0
22.62,3,2,2,1,3,2,1,6,1,170000,0.14,7,77,1
51.8,3,1,1,2,2,3,0,11,1,75172,14.72,26,47,0
24.2,3,1,1,2,1,1,0,5,1,189763,0.24,9,50,1
30.32,5,2,1,1,1,5,0,9,0,145670,5.87,28,59,0
55.15,5,2,1,2,1,4,0,12,1,168916,23.67,0,51,0
26.6,2,2,2,1,1,4,1,5,1,136277,2.22,1,65,1
55.59,4,2,1,4,5,2,0,12,1,192896,16.65,14,55,1
23.42,1,2,2,3,1,5,1,4,1,96936,1.3,13,80,1
41.01,3,1,1,2,1,5,0,11,1,153123,3.73,18,59,1
57.88,1,1,2,1,5,1,1,11,1,69632,23.68,29,60,0
48.06,3,1,2,1,3,4,1,6,1,134898,25.1,29,62,1
45.34,4,2,2,1,2,3,1,9,0,124718,15.91,17,81,1
31.52,4,2,1,2,3,4,0,4,1,68411,1.25,23,41,1
22.52,2,2,1,4,3,4,0,4,1,47867,0.28,13,46,1
24.6,3,1,2,1,2,1,1,1,0,107890,0.52,30,76,1
29.94,5,2,1,4,5,3,0,7,0,42655,5.01,8,50,1
55.45,1,2,1,2,3,5,0,10,1,43855,26.81,19,50,0
23.5,2,2,1,4,1,4,0,1,0,173764,1.51,0,43,1
53.9,2,1,1,2,1,5,0,1,0,93521,11.58,24,48,0
49.41,4,1,2,1,1,4,1,9,0,155800,5.86,8,79,1
21.52,3,1,1,1,1,5,0,3,0,174307,0.36,16,41,1
58.35,2,2,2,1,3,1,1,6,1,172761,22.15,28,79,0
35.85,1,2,1,1,5,2,0,6,1,85474,11.1,18,51,0
21.78,3,1,1,4,3,4,0,4,1,93104,0.31,17,47,1
49.93,2,1,2,1,1,2,1,11,1,182901,2.66,21,82,0
38.69,2,1,2,3,2,4,1,9,0,85455,7.86,11,50,1
33.05,2,1,2,1,2,4,1,5,1,91962,0.21,14,57,1
42.4,3,1,1,4,2,4,0,3,0,79931,6.41,14,54,1
23.8,2,1,1,2,4,2,0,3,0,83553,1.38,18,60,1
43.73,1,1,2,1,2,3,1,9,0,40098,12.91,7,69,0
56.3,1,1,2,1,1,5,1,4,1,178228,29.3,21,82,1
52.43,2,1,1,4,3,3,0,2,0,170548,29.47,23,43,0
37.72,3,2,1,4,3,3,0,10,1,83462,1.81,2,44,1
27.75,1,2,2,3,3,1,1,12,1,65098,6.62,23,78,1
45.08,1,1,2,1,1,2,1,5,1,69047,8.21,5,52,0
53.38,1,2,1,2,1,3,0,1,0,160627,22.53,6,52,1
27.23,2,1,2,1,1,3,1,2,0,45605,2.49,8,59,0
34.59,4,1,2,1,1,3,1,8,0,101520,11.0,25,71,1
43.12,5,2,2,1,4,5,1,5,1,71228,15.19,10,86,0
48.59,4,2,2,1,2,2,1,1,0,179751,22.56,5,86,0
22.32,3,2,1,2,1,3,0,11,1,111243,0.73,10,42,1
22.2,3,1,2,1,3,1,1,8,0,55584,0.95,0,54,0
22.8,5,1,2,1,1,3,1,9,0,116107,0.88,0,68,0
23.72,3,2,1,2,4,4,0,2,0,43903,2.47,21,46,0
49.93,2,2,2,3,1,4,1,4,1,82416,0.32,17,58,1
38.08,3,1,1,2,1,5,0,6,1,51167,13.08,13,56,1
21.75,5,2,2,3,5,2,1,4,1,122053,0.27,24,56,0
44.25,3,1,1,4,2,4,0,9,0,87980,9.86,15,47,1
36.48,5,2,1,4,4,4,0,5,1,124446,14.25,26,60,1
43.83,3,2,1,2,4,3,0,2,0,82302,4.44,12,43,0
45.28,2,2,1,2,5,5,0,3,0,76966,9.38,15,55,0
41.0,3,1,2,1,1,4,1,9,0,118277,3.86,22,82,1
22.3,3,1,2,1,2,4,1,9,0,68437,0.89,11,62,0
51.62,3,1,1,4,3,4,0,1,0,185680,19.53,17,42,1
46.9,4,2,1,4,2,2,0,11,1,160780,16.67,30,41,0
24.62,2,2,1,3,4,4,0,5,1,165001,3.24,10,51,1
25.2,2,1,2,3,1,2,1,10,1,193776,1.8,11,58,1
26.68,1,1,1,4,2,2,0,1,0,173145,1.53,8,55,1
25.83,2,1,1,1,2,1,0,3,0,107956,3.35,4,47,1
27.08,1,1,2,1,2,3,1,2,0,154762,3.45,9,87,0
59.95,4,1,1,2,3,4,0,4,1,130624,20.26,10,60,1
23.85,2,2,2,1,1,1,1,7,0,44198,1.07,1,68,0
46.5,5,2,1,2,1,1,0,7,0,49988,2.04,4,60,0
43.18,4,2,1,1,3,3,0,1,0,103078,2.52,21,47,0
40.75,2,2,1,1,3,5,0,5,1,42432,1.17,12,43,1
51.04,2,2,1,4,2,2,0,4,1,118501,25.27,15,56,0
24.03,3,2,1,3,1,5,0,1,0,117903,2.52,29,54,1
50.06,4,1,1,2,1,4,0,8,0,186874,23.0,2,52,1
34.76,3,1,2,1,1,4,1,5,1,88428,5.21,1,73,1
49.71,4,2,2,1,2,4,1,3,0,88365,19.34,11,78,1
55.75,3,1,2,1,3,4,1,3,0,84756,33.41,4,63,1
26.65,3,1,1,2,3,4,0,7,0,56978,4.07,12,53,1
47.62,1,1,2,3,3,2,1,1,0,86121,14.52,27,61,0
31.42,2,2,2,1,3,4,1,7,0,191262,5.02,27,58,1
50.68,1,1,1,4,1,4,0,11,1,168136,28.73,25,42,1
51.27,2,1,1,1,1,4,0,3,0,110629,11.41,23,55,1
42.87,3,1,2,1,3,4,1,9,0,173803,18.88,24,72,1
58.33,3,1,1,2,1,1,0,10,1,182319,36.81,10,55,0
22.07,4,1,1,3,1,3,0,3,0,112661,0.35,0,50,1
48.01,3,2,2,1,2,4,1,11,1,83967,2.69,22,65,1
39.56,3,1,2,1,4,2,1,10,1,73045,6.81,14,88,1
28.64,3,1,1,4,1,3,0,8,0,106818,3.94,27,58,1
28.85,4,1,2,1,1,4,1,5,1,72482,0.16,3,55,1
40.32,3,2,2,1,2,2,1,4,1,84543,11.31,22,60,1
53.66,2,1,2,1,5,4,1,10,1,151202,10.75,26,61,1
47.14,1,2,2,1,1,4,1,4,1,152700,13.33,17,71,1
39.17,2,1,1,4,4,2,0,9,0,93781,17.89,18,59,1
53.47,4,1,2,1,3,5,1,12,1,63810,12.65,25,66,1
39.59,3,1,2,1,3,4,1,7,0,123907,14.03,6,73,1
54.7,3,1,2,1,3,4,1,12,1,63060,0.58,25,80,1
27.87,2,1,1,2,3,4,0,1,0,117270,4.52,3,41,0
56.06,2,2,1,4,3,4,0,7,0,129631,15.01,17,40,1
26.74,4,2,1,3,2,3,0,7,0,197578,5.07,4,43,1
42.79,2,1,2,1,3,3,1,4,1,188651,4.25,27,87,1
34.99,3,1,1,4,3,3,0,2,0,180695,6.45,25,60,1
57.52,4,1,1,2,1,1,0,3,0,98773,17.38,8,53,1
21.95,5,2,2,1,1,3,1,12,1,171911,0.65,0,73,1
33.92,1,2,2,1,4,3,1,2,0,180380,10.47,20,77,1
29.29,2,1,1,3,5,3,0,2,0,181329,2.47,20,47,0
49.59,5,2,1,3,2,4,0,7,0,49409,19.08,13,40,1
29.01,3,2,1,1,3,2,0,7,0,182384,3.04,18,53,1
23.19,2,1,1,1,4,3,0,12,1,121811,1.62,26,57,0
44.72,2,2,2,3,4,4,1,4,1,158480,1.32,12,54,1
25.86,4,1,1,4,1,3,0,9,0,113621,4.84,15,41,1
29.15,4,2,2,1,1,2,1,3,0,42757,7.33,30,64,0
36.8,3,2,1,2,1,4,0,2,0,101666,7.43,8,52,0
43.93,2,1,1,2,1,3,0,2,0,135985,2.47,13,48,0
40.24,2,1,1,4,4,2,0,11,1,149894,15.68,20,41,0
39.58,4,1,2,3,2,1,1,9,0,67573,7.89,23,53,0
34.51,3,2,2,3,1,3,1,7,0,146322,8.05,11,59,1
54.8,2,2,2,1,1,3,1,3,0,164715,27.4,6,77,1
31.47,2,2,2,1,3,3,1,1,0,95619,3.53,8,69,1
54.95,3,1,1,2,3,4,0,2,0,174652,29.44,7,46,0
46.15,3,1,2,1,3,2,1,7,0,192311,8.06,4,65,1
33.87,1,2,1,3,1,4,0,6,1,85068,0.08,19,52,1
37.62,2,2,1,2,3,3,0,5,1,199599,2.2,5,41,0
27.85,3,1,1,4,3,5,0,1,0,147599,2.56,8,59,1
35.15,1,2,2,3,3,1,1,1,0,98822,13.58,2,88,1
41.92,4,1,1,4,1,4,0,9,0,129477,10.86,27,42,1
59.59,2,1,2,1,5,4,1,2,0,174535,24.47,12,85,1
44.34,3,1,2,3,2,1,1,5,1,98297,19.21,1,86,1
35.0,2,2,2,3,3,5,1,6,1,180204,6.09,21,90,1
29.41,2,2,1,4,1,4,0,1,0,124905,5.56,12,47,1
41.59,1,1,1,4,4,3,0,7,0,149540,13.0,3,40,1
31.43,1,1,1,4,2,5,0,2,0,169414,3.45,9,51,1
51.78,3,2,2,1,1,4,1,7,0,178455,24.04,27,86,1
51.02,5,1,2,1,2,4,1,11,1,175346,21.75,5,83,1
46.67,3,1,1,2,2,3,0,9,0,62632,19.9,28,41,0
49.58,1,1,1,2,1,3,0,3,0,116896,21.35,19,49,0
44.64,2,1,2,1,2,1,1,6,1,195736,15.09,28,61,1
51.12,2,2,1,4,1,1,0,11,1,104324,14.75,9,42,1
42.22,2,1,1,2,2,1,0,1,0,53234,1.57,6,56,0
39.21,2,1,1,4,3,4,0,10,1,52471,2.79,5,47,1
23.3,5,2,2,1,2,2,1,10,1,66859,1.75,13,50,0
39.29,1,1,1,4,5,4,0,6,1,57398,13.16,19,43,1
36.45,4,1,1,4,3,4,0,6,1,94677,6.13,27,41,1
35.18,1,1,1,2,2,3,0,5,1,106151,5.24,15,48,1
28.58,2,2,2,1,2,4,1,9,0,51797,3.83,24,58,1
31.82,2,1,1,2,1,3,0,6,1,184655,7.15,27,44,1
58.88,4,1,2,1,4,5,1,10,1,146697,36.79,10,59,1
30.32,2,1,1,2,3,2,0,6,1,128726,4.16,22,56,1
34.87,4,1,2,1,1,4,1,10,1,128176,4.78,20,58,1
32.19,3,2,1,4,1,4,0,6,1,43213,6.11,28,53,1
23.88,5,1,1,4,2,4,0,1,0,187936,2.55,19,55,1
33.89,2,1,2,1,1,4,1,5,1,74266,2.2,29,56,1
47.64,5,2,2,1,2,5,1,1,0,123779,9.55,25,75,1
50.58,2,1,1,4,1,5,0,11,1,119724,2.72,4,42,1
23.16,2,1,1,4,1,3,0,4,1,128443,1.26,30,46,0
52.13,5,2,2,1,3,5,1,1,0,102628,17.57,26,60,1
44.92,3,1,2,3,1,5,1,12,1,49046,17.59,8,64,1
45.38,2,1,2,1,3,5,1,3,0,192869,24.35,13,74,1
33.21,4,2,2,1,5,2,1,12,1,82173,4.61,14,89,0
29.71,4,2,1,4,1,3,0,4,1,81945,3.33,20,42,0
35.83,2,1,2,1,5,4,1,7,0,149573,4.06,16,69,1
59.7,1,1,2,1,1,4,1,2,0,135860,17.47,1,59,1
51.9,1,2,2,3,1,2,1,12,1,199488,28.67,27,87,0
25.27,3,1,2,1,4,3,1,12,1,91133,2.62,4,54,1
41.08,3,1,2,3,2,5,1,11,1,198611,17.69,6,65,1
45.83,3,2,1,2,5,4,0,3,0,118942,15.39,25,49,0
39.9,2,2,2,1,1,5,1,3,0,59655,14.38,1,76,1
35.89,2,1,2,3,2,2,1,12,1,162390,14.65,3,80,1
34.44,3,1,2,3,2,3,1,7,0,109567,1.0,28,76,1
40.77,2,2,1,2,1,3,0,6,1,51890,3.1,29,59,1
57.22,1,2,1,2,3,5,0,1,0,183349,27.54,8,59,0
55.62,1,1,2,3,5,5,1,1,0,63692,15.57,3,82,0
40.28,3,2,2,1,1,4,1,4,1,108508,9.27,7,57,1
29.72,5,2,1,2,1,1,0,6,1,186513,6.12,12,52,0
48.67,5,1,1,1,1,5,0,1,0,65147,18.57,29,55,0
55.95,3,1,2,1,2,3,1,12,1,81303,24.65,4,64,1
36.02,3,1,2,1,1,1,1,7,0,146655,5.04,2,52,1
43.59,3,2,1,2,2,4,0,1,0,159145,8.51,6,52,0
58.44,3,1,1,4,2,2,0,4,1,86039,22.28,19,46,0
44.32,1,1,2,3,3,3,1,10,1,82261,15.8,29,79,0
49.68,1,1,1,4,1,3,0,5,1,152882,28.21,10,54,1
22.48,3,2,1,2,3,3,0,2,0,153158,0.43,19,49,0
54.5,1,2,1,2,1,5,0,12,1,105915,16.59,4,42,0
44.63,2,2,1,2,3,5,0,11,1,56889,0.67,11,48,1
23.34,3,1,2,3,2,3,1,9,0,166225,0.89,18,75,1
30.22,3,2,1,4,5,5,0,4,1,181451,0.26,20,55,1
26.17,1,1,2,1,3,5,1,12,1,176076,3.59,1,87,1
38.73,1,1,2,1,2,3,1,12,1,61290,11.58,29,61,0
27.67,1,1,2,1,3,2,1,8,0,188372,3.93,8,81,0
39.82,5,1,2,3,1,3,1,5,1,48955,3.24,24,66,1
42.6,1,1,2,1,1,2,1,7,0,171726,8.0,13,77,0
24.93,4,1,1,1,3,2,0,11,1,199851,0.72,24,46,0
47.44,2,1,2,3,1,4,1,1,0,76168,7.49,30,59,1
31.0,1,2,1,2,3,3,0,10,1,155135,7.81,1,53,1
38.27,1,2,1,2,1,4,0,6,1,104475,1.15,22,53,1
37.5,3,1,1,1,2,4,0,8,0,167735,7.95,26,58,1
39.94,1,1,2,1,1,1,1,11,1,114117,4.66,1,64,0
48.68,5,2,2,1,1,2,1,10,1,96484,24.82,8,86,0
27.46,4,1,1,2,1,4,0,5,1,154842,1.18,1,47,1
49.13,3,1,1,1,1,1,0,5,1,113391,4.19,6,49,1
32.6,2,1,2,1,2,3,1,7,0,186876,10.08,11,82,1
27.48,2,1,2,3,2,2,1,4,1,189028,0.32,17,82,1
45.81,3,2,2,1,5,4,1,9,0,104751,11.84,17,69,1
29.49,5,1,1,2,2,1,0,6,1,101046,0.16,20,59,1
25.38,4,1,2,1,5,1,1,9,0,111760,2.87,14,64,0
45.24,1,1,2,1,2,2,1,4,1,150822,18.28,6,62,0
52.79,3,2,2,3,4,5,1,6,1,90032,18.1,4,50,1
42.7,3,1,2,1,4,3,1,4,1,93212,14.28,22,61,1
49.36,4,2,2,1,1,4,1,5,1,171239,20.18,26,58,1
30.48,2,2,2,1,1,5,1,7,0,64455,0.05,13,73,1
29.16,2,2,2,3,2,5,1,1,0,112920,3.56,16,59,1
32.84,2,1,1,3,1,4,0,4,1,133179,10.29,23,57,1
30.16,5,1,1,4,3,3,0,3,0,85440,2.4,18,54,1
54.95,5,2,1,2,1,4,0,11,1,99547,26.74,28,40,0
35.56,5,2,2,1,1,3,1,3,0,74559,13.35,7,75,1
38.42,1,2,1,4,3,5,0,4,1,87519,3.3,9,42,1
41.5,3,2,1,2,1,2,0,10,1,104646,2.77,2,47,1
41.07,2,1,2,3,5,3,1,3,0,115247,11.35,6,65,1
36.92,3,1,1,2,2,4,0,4,1,167499,3.28,8,58,1
55.92,5,1,2,3,3,5,1,12,1,68585,13.6,23,90,1
51.68,4,2,1,4,1,5,0,4,1,61798,8.27,7,44,1
54.49,3,1,2,3,1,4,1,2,0,102737,26.47,13,71,1
39.01,2,2,2,1,4,3,1,1,0,188192,6.52,21,51,1
59.28,3,2,2,3,2,4,1,4,1,97014,37.31,8,68,1
21.07,2,1,2,1,1,4,1,7,0,64990,0.01,21,59,0
50.56,5,1,2,1,3,4,1,11,1,187731,11.74,14,76,1
29.92,4,1,1,4,2,1,0,6,1,169501,7.12,19,46,0
58.37,2,2,2,1,4,5,1,1,0,124219,25.58,25,83,1
38.61,3,2,1,2,1,2,0,7,0,109975,11.02,15,57,1
49.82,2,1,2,3,3,3,1,10,1,192971,8.8,0,56,0
38.59,2,1,2,3,3,3,1,8,0,93193,13.92,10,56,1
40.54,1,1,1,3,5,3,0,3,0,94900,19.41,21,53,0
29.34,2,2,1,2,4,5,0,2,0,52661,6.44,26,53,0
40.52,2,2,2,3,5,4,1,8,0,40734,17.93,8,80,1
37.27,3,1,2,1,5,4,1,9,0,122443,15.85,29,65,1
29.07,4,1,1,2,4,4,0,8,0,49533,4.92,2,55,1
46.86,2,2,1,3,3,2,0,10,1,101612,0.76,7,51,1
37.11,3,1,2,3,3,5,1,7,0,195327,10.07,17,63,1
39.04,2,2,1,4,5,3,0,5,1,74330,15.18,26,59,0
24.7,3,1,1,2,3,2,0,12,1,106880,3.61,0,42,1
58.85,2,1,2,1,2,1,1,1,0,70549,14.53,22,73,0
21.76,2,2,1,2,2,5,0,5,1,65586,0.22,17,42,1
39.31,2,2,2,1,4,2,1,1,0,52340,4.5,27,52,0
25.13,1,1,2,1,2,4,1,5,1,166481,3.18,12,55,0
44.58,1,2,1,2,3,1,0,8,0,110849,21.94,17,43,1
41.82,4,2,1,3,1,2,0,1,0,127382,16.52,8,49,0
35.32,5,1,2,1,2,3,1,9,0,158868,12.89,10,60,0
44.51,2,1,1,2,3,4,0,1,0,131157,9.51,16,45,1
53.39,2,2,2,3,1,5,1,6,1,44045,12.1,30,86,1
